,prim.1,prim.2,prim.3,prim.4,prim.5,prim.6,prim.7,mono.1,mono.2,mono.3,mono.4,mono.5
PLOD3,499,1248,404,661,597,1308,1688,1488,1077,2123,1305,1389
PMS1,507,278,861,711,681,607,462,272,436,181,172,181
PNPO,160,112,163,140,103,278,189,226,155,297,262,267
POLD4,94,201,90,102,150,142,159,303,231,303,282,232
POLI,227,216,266,252,301,167,309,211,202,132,179,229
POLR2J,307,369,128,202,219,271,299,397,304,566,468,651
POLR3B,277,159,165,155,167,103,102,93,57,103,182,71
POLR3G,70,25,55,114,65,78,18,22,18,9,4,12
POP4,355,334,326,350,338,530,463,575,476,511,549,539
POR,417,538,292,381,281,523,642,1528,1206,1106,1159,2237
PPARD,9,29,19,19,18,7,24,155,35,128,203,345
PPOX,220,240,282,274,263,329,317,144,164,148,171,87
PPP1R11,1124,1666,1401,1079,1215,1238,1448,1953,2054,2386,1633,3082
PPP1R14B,633,714,517,941,566,774,656,356,286,487,475,522
PPT1,2344,3868,7638,9876,7917,15408,4137,28529,16801,11839,12824,20289
PPT2,238,295,168,234,267,429,360,35,50,94,68,51
PQLC1,713,672,995,539,473,726,757,1154,1061,1155,1113,1274
PRDM11,573,612,336,262,400,289,448,64,78,221,148,101
PRDX6,4459,3486,5665,6667,4244,7047,4229,3155,3951,3268,2001,3421
PRELID2,261,148,236,538,195,359,154,18,72,31,34,0
PREX1,1111,3514,867,716,1588,2709,3039,3190,2500,4178,4132,5622
PRKACA,625,1043,526,409,657,650,898,2839,1653,2832,2375,6352
PRKCB,1833,3294,3618,5274,3265,2031,1726,5854,6495,5558,6743,6205
PRKCD,1345,1565,543,588,709,1819,1378,3401,2176,5333,4123,4806
PRKCH,543,514,561,1091,473,715,889,141,140,24,60,118
PRKCQ,799,703,1051,723,657,474,1187,16,102,57,50,64
PRR5,372,276,285,63,139,241,416,3,36,17,19,133
PRSS2,30,47,65,0,55,39,203,0,2,0,0,1
PRSS57,4240,7472,4932,5025,3885,9569,10117,70,732,1522,1258,308
PSAP,4958,6844,9493,8258,5788,10649,4512,125164,90194,75812,54108,236324
PSEN1,1471,1444,1337,2216,1705,1736,1486,5700,4984,2376,2484,2652
PSMB8,1654,1046,1464,1802,1014,3004,1845,1916,2169,2493,2711,3318
PSMD7,1375,1014,1482,1682,1018,1842,1291,2568,2045,2195,2502,1698
PSMG1,649,312,784,939,501,644,572,266,390,402,224,279
PTAFR,106,425,221,39,308,2158,377,6785,4993,3893,2780,6438
PTGDR2,150,97,146,316,133,91,41,0,42,3,3,74
PTGR2,35,80,62,50,132,52,34,29,33,9,10,30
PTK2B,2730,3709,1542,2036,2817,3526,2741,3031,3422,3709,4705,3542
PTPN12,781,1189,1121,694,1209,548,1035,2318,2833,1613,1531,2745
PTPN2,732,774,966,750,893,715,771,2389,2227,1073,917,1679
PTPN9,771,1092,1232,769,1067,848,713,1838,1555,1582,1248,1671
PTPRE,467,1452,222,587,910,181,325,2028,2853,1412,1555,3539
PTPRO,3,23,3,39,4,96,13,771,794,111,194,893
PWP1,1146,1021,1556,1384,1204,1286,1206,875,877,822,794,650
PYCARD,962,2080,689,517,1181,2674,2020,3054,2874,3577,3420,3755
QPRT,286,242,178,173,169,218,180,51,74,76,73,84
QSOX1,1549,2854,1834,1429,1864,4257,2782,7088,3190,4788,3953,3700
RAB1A,1128,1177,1596,2182,1770,1667,1078,3568,3810,2203,1824,3540
RAB27A,278,853,192,785,1270,599,371,3832,5344,2638,2286,980
RAB29,221,477,289,741,581,530,424,1512,1290,1239,959,614
RAB2A,796,868,1147,1405,1036,869,483,2586,2013,1406,1555,1783
RAB31,74,44,521,157,53,12499,4901,10696,6676,2715,1546,4322
RAB35,1007,875,745,1013,638,789,867,1501,1260,1506,1520,1422
RAB5B,815,1335,1335,1419,1324,1817,1458,2717,2669,1545,1277,2052
RAB5C,429,701,521,681,556,796,522,1812,1408,1110,841,2777
RAB6B,96,245,89,330,221,17,2,6,3,3,9,8
RAB7A,2994,3637,3888,3051,3194,4737,3801,8736,6714,7116,6089,10270
RAC2,7705,13218,7063,6787,9452,15985,15333,11809,12657,18703,15493,16376
RAD18,346,245,454,495,441,276,208,221,282,222,179,207
RAD54B,15,12,30,27,14,9,9,3,2,7,2,3
RAF1,1645,1526,1725,1662,1270,1612,1622,2139,2340,1705,2110,2699
RALB,1967,2111,3207,1560,2760,3731,2766,7211,6789,4444,3491,4844
RASA3,979,748,1207,220,591,491,974,1360,1429,1252,1553,2584
RASL11B,18,20,12,10,28,4,2,0,2,0,5,1
RASSF2,1011,1689,1017,1395,1250,1481,1271,6354,5621,3010,3182,3570
RASSF4,73,114,24,84,60,70,19,2469,704,4255,2936,3671
RAVER2,754,682,1212,562,775,609,601,26,104,168,101,190
RBBP7,2028,2234,2564,2755,2251,2388,1851,1725,1757,2305,1562,1768
RBM12,2263,1811,1820,1844,2053,1360,1405,1319,2057,1051,1180,1309
RBM47,0,246,21,58,167,32,13,2437,2367,2442,2395,2758
RBMS2,288,464,269,250,397,285,228,308,89,119,119,166
RBMX,6820,6587,5466,4924,6383,4695,4656,2948,2749,3540,3140,4725
RCL1,522,337,459,409,456,396,301,119,124,128,174,192
RCOR1,1085,1604,1151,1134,1621,716,809,1766,1754,1579,1528,2063
REEP5,326,475,708,1874,559,191,142,2570,4254,2019,1653,2947
RFX5,1334,1808,1337,1132,1661,1463,1849,908,860,899,1268,1367
RGS19,858,1629,913,1033,1222,3432,1733,3573,3303,3628,2639,4653
RHEB,627,422,691,880,566,427,342,1311,1221,882,849,1089
RHOQ,271,357,604,488,604,589,258,2155,1777,751,702,1285
RIMKLB,581,1274,503,498,1240,209,511,58,66,224,164,536
RIMS3,9,28,21,15,20,5,12,13,3,6,6,7
RINT1,252,146,330,427,282,370,306,191,176,120,166,98
RIPK3,192,197,126,19,145,193,243,324,326,344,346,358
RNASE6,15,141,72,251,138,66,16,6649,4131,1423,1054,2425
RNASEH2B,1412,1707,2026,2215,2659,1716,1434,1120,1585,1286,1119,1310
RNF111,797,674,738,557,756,481,859,1001,912,652,913,1109
RNF144A,749,801,676,710,1025,1495,840,221,363,110,31,59
RNF166,600,1006,371,849,487,843,894,1360,1272,1783,1370,1771
RNF181,628,752,693,834,737,907,716,1258,1221,1093,1096,1929
ROBO3,121,193,192,305,80,48,90,38,9,30,139,65
RPL14,19897,22114,27846,24380,27446,19771,14377,15196,17283,12577,10507,20146
RPL17,85,96,103,83,74,71,61,34,59,60,50,87
RPL26,9349,10577,10635,8008,11573,6135,6276,6118,7247,4863,4363,8497
RPL32P3,159,117,106,52,83,37,123,24,42,37,74,86
RPL7,27992,33246,60362,30097,47856,23723,19265,23817,27254,18697,15374,21100
RPL9,25874,45875,42667,26925,49415,20937,21619,22703,22202,15302,14410,23511
RPS3A,41241,61523,59862,43963,71959,38948,32040,28572,35857,22464,16503,28307
RPS4Y1,5545,6741,3,4250,6489,1,30,0,57,0,59,0
RPS6KA1,2092,2609,2150,1647,2153,7124,4413,4814,4872,4346,5021,3641
RPS8,49397,62046,54526,46635,63346,47297,38100,29552,30063,28166,24105,39265
RPSA,20451,26806,32641,26522,32557,21943,14807,8294,8721,10110,9682,8560
RTCB,1173,1064,1176,1481,1264,1702,1269,1950,1453,1749,1706,2341
RTTN,259,173,282,287,270,203,258,88,101,106,125,80
RXRA,377,978,301,10,475,276,650,1463,1942,1795,2365,3274
S100A4,4395,5565,5188,4936,5631,9994,5804,48355,36746,34315,23417,35482
S1PR3,3,0,0,8,1,1,1,202,319,589,899,221
SAMHD1,504,1792,625,1100,1400,4053,1598,32857,22621,15299,8022,20230
SASH3,1488,2781,1065,1384,1576,2596,5480,3738,1974,3407,3041,3998
SCAMP2,1823,2594,1239,2190,1808,3305,2208,3308,3128,3042,2394,4025
SCIMP,2,14,17,28,27,44,10,2647,1813,1476,958,4605
SCPEP1,61,320,204,1043,213,748,100,12564,12283,15201,10612,6878
SDC3,1,1,0,4,0,0,0,216,20,107,36,174
SDF2L1,186,96,71,88,69,150,151,218,140,431,382,566
SDPR,1096,493,584,29,897,214,44,13,89,21,23,9
SEC23B,946,707,836,1203,799,1561,863,2925,2170,2799,3088,1097
SEC24A,383,390,514,443,420,379,352,772,738,488,572,718
SEC61B,623,745,1003,1005,837,1110,806,1461,1328,1284,1290,1318
SELPLG,2983,2883,1792,1953,1478,4484,4359,8502,10261,12486,7826,11000
SEMA4A,128,2221,405,164,1126,156,239,2442,1435,2984,2038,5504
SEPW1,1032,923,1190,713,643,672,911,1437,1080,1367,1199,1165
SERF2,5722,6786,6063,6104,5489,8047,5868,11256,9000,11912,11508,14118
SERPING1,1612,501,1675,1417,507,1330,1639,69,112,331,87,711
SETD7,31,436,237,219,390,76,95,1671,1918,931,727,1074
SETX,2070,1936,1556,1211,1941,1309,2437,2081,2432,2488,2816,3583
SGTB,109,102,218,94,129,64,69,545,392,207,215,532
SH2B2,71,57,17,13,11,4,15,184,96,336,386,549
SH3BGRL3,6840,9434,5734,11200,6208,10962,11898,23347,19337,18736,15659,46200
SH3KBP1,1191,3372,580,547,1723,1243,2032,2760,2616,5699,4777,6187
SH3PXD2A,644,804,291,193,317,95,235,46,42,141,80,110
SHC1,460,658,520,838,639,866,700,1514,1275,1391,1628,1381
SHF,95,68,146,280,90,54,193,13,29,64,29,15
SHKBP1,1394,3544,1302,1802,1933,2375,2321,3001,3243,5599,5822,4749
SHROOM1,4,2,18,3,3,2,2,27,9,22,24,26
SIGLEC14,39,42,18,13,38,319,62,912,520,976,796,2418
SIGLEC5,28,16,9,2,11,21,13,61,26,98,35,112
SIGLEC7,6,5,0,12,13,4,1,626,683,745,274,878
SIGLEC9,3,3,1,33,1,11,1,1105,627,766,747,1716
SIRPA,694,868,189,217,529,529,437,3789,2458,4277,3475,3626
SIRPB1,36,5,1,2,1,21,1,5764,3059,3243,1832,4929
SIRPB2,64,207,4,141,181,22,4,2512,2512,2755,2587,3028
SLA,609,418,640,997,381,796,603,3380,1177,1712,2564,3176
SLC12A2,323,249,272,467,289,402,367,135,170,80,61,74
SLC12A9,208,564,427,465,306,100,195,1544,1121,1674,1853,1480
SLC15A3,14,81,68,25,38,16,11,1770,1194,1200,1097,4528
SLC15A4,220,276,296,466,468,417,228,731,550,379,473,607
SLC16A3,496,1012,509,153,437,802,1519,5361,3229,4342,3300,2540
SLC16A6,0,1,0,0,1,0,0,99,11,111,23,141
SLC1A3,2,5,4,52,11,281,13,747,155,295,345,135
SLC1A4,386,455,304,1276,365,71,182,1234,1313,1839,2951,1357
SLC20A2,338,313,403,369,367,477,324,304,196,282,285,154
SLC22A15,2,50,491,1,59,145,193,1032,699,769,1365,194
SLC23A1,12,7,3,8,10,9,56,0,3,0,0,3
SLC24A4,146,179,56,31,232,34,18,1238,1231,571,533,1107
SLC25A26,365,372,471,394,441,565,320,268,234,196,209,194
SLC26A6,112,124,96,104,69,76,117,368,348,346,368,317
SLC27A1,291,404,223,351,254,278,415,364,482,404,376,464
