,prim.1,prim.2,prim.3,prim.4,prim.5,prim.6,prim.7,mono.1,mono.2,mono.3,mono.4,mono.5
TRIM16L,138,74,74,57,62,102,128,21,41,19,46,28
TRIM21,404,132,281,421,146,341,399,674,680,675,769,716
TRIM24,1366,1212,1169,851,1006,367,944,252,371,715,1098,875
TRIM37,441,384,545,405,424,352,383,279,274,252,234,257
TRIM45,111,106,54,49,72,23,33,11,21,31,27,7
TRIM68,318,289,330,300,445,356,314,149,271,211,197,161
TSC22D1,5142,5036,5397,11236,9258,1058,2133,670,1287,738,886,589
TSG101,796,939,978,1049,902,1020,923,1544,1552,1155,1056,1124
TTC24,279,194,123,126,162,132,295,10,9,7,28,23
TTC26,89,75,124,85,142,90,87,26,48,44,68,17
TTC32,175,125,267,162,199,102,108,103,115,64,65,45
TTLL10,34,49,65,16,39,55,159,0,3,3,1,2
TTLL4,359,298,163,235,190,140,287,327,393,608,734,567
TTYH3,907,1705,357,332,671,1212,1575,2272,1233,2909,2863,5219
TUBE1,153,151,236,141,190,114,176,69,148,80,98,49
TUBGCP4,846,513,549,540,702,703,902,216,431,432,353,323
UAP1,523,461,405,406,419,400,360,378,262,219,204,157
UBA1,3586,6022,4521,3906,4212,6686,6878,6689,5820,8203,6876,4186
UBAC1,527,476,644,455,357,450,553,830,657,1300,844,1262
UBE2Q1,1396,1462,1196,1078,1156,1541,1567,1839,1860,1902,1828,2191
UBE4A,565,512,899,1168,848,1493,812,1538,2163,1287,868,1599
UBL5,1311,1304,1573,1205,1152,1666,1354,2046,1887,2095,2060,2000
UBTD1,22,93,46,125,38,59,65,489,225,691,415,280
UBXN2A,334,294,426,440,353,305,382,260,286,245,249,236
UGGT1,1202,1196,716,721,742,1347,1085,1488,1632,1817,1622,1023
UNC93B1,741,865,242,518,456,1554,1766,2256,1947,1881,1982,4509
UPP1,106,168,54,178,88,648,300,1689,1691,425,564,1624
URI1,1449,1453,1965,1289,1833,1788,1612,979,1096,778,521,967
USP25,950,551,838,749,610,863,858,1825,1704,1371,1369,1604
USP3,292,361,509,761,451,362,314,2551,2835,1282,1576,2681
USP32,794,975,472,368,538,538,702,1121,1191,989,1059,1370
UTP15,280,145,303,245,249,192,243,125,206,85,142,200
UXS1,1021,783,892,945,883,1569,1086,737,720,866,647,575
VANGL1,359,818,450,965,987,486,415,189,333,175,139,75
VASP,1199,2839,1946,1962,1914,2274,2044,7078,5137,8017,6421,14937
VAV2,123,318,131,154,118,20,87,530,377,611,554,742
VDR,95,31,21,33,10,21,6,830,255,787,715,752
VEGFA,105,49,158,26,69,33,72,351,381,652,615,1095
VNN2,26,271,204,20,233,148,34,2317,4577,1124,902,1277
VNN3,0,2,0,0,0,0,1,42,62,27,68,31
VPRBP,907,567,654,754,581,650,656,431,357,354,520,429
VPS11,1002,1101,657,1045,837,1500,1659,1570,1236,1349,1578,1478
VPS33A,191,249,339,205,268,396,332,493,487,420,397,226
VPS37C,133,191,121,139,98,81,90,333,194,775,704,761
VPS4A,361,496,404,408,389,509,535,542,514,684,633,614
VTI1B,662,935,1570,1152,1041,1426,1009,2469,1695,1515,1351,1928
WARS2,329,222,339,402,341,330,207,163,211,151,111,177
WBP1L,511,798,527,629,612,801,643,1469,1319,994,902,890
WBP2,938,2157,926,1047,1414,1265,1779,2214,2370,2403,1883,4426
WDFY3,204,154,31,6,84,5,4,857,598,743,452,121
WDR27,288,198,140,150,197,102,225,62,42,62,76,72
WDR35,507,258,517,149,378,284,429,96,110,60,123,0
WDR43,1533,1130,1015,1142,1187,630,787,397,417,412,519,757
WDR45,580,710,402,572,567,550,580,639,725,700,779,881
WDR7,287,394,291,378,454,431,241,707,570,556,416,765
WDR75,555,286,649,790,420,693,601,341,357,220,318,230
WIPI1,8,26,162,10,21,17,71,328,205,112,93,215
WT1,309,179,239,298,170,85,188,0,24,16,4,7
WWP2,707,1119,559,668,666,867,926,1125,1046,1628,1705,2697
XRCC4,152,124,217,292,229,198,115,578,630,294,309,268
YES1,517,398,287,310,360,219,235,79,87,10,17,14
YIPF3,1399,1665,1287,1345,1500,1726,1807,1766,1703,2029,1919,2502
YTHDF2,2265,1749,2112,1953,1954,1523,1851,1557,1792,1501,1316,1647
ZBTB12,167,133,64,67,72,84,123,14,20,84,52,35
ZBTB26,234,159,316,211,279,210,230,72,151,85,88,145
ZBTB7B,80,485,219,72,174,338,286,1719,1157,1790,2250,2548
ZBTB8A,126,123,56,109,139,70,151,0,18,7,4,6
ZC3HAV1L,50,33,14,42,39,16,37,22,23,7,2,7
ZCCHC11,723,862,453,425,629,361,728,155,212,272,368,208
ZCCHC24,1,47,101,5,17,18,36,226,121,253,315,306
ZCCHC6,727,409,461,466,476,417,819,1589,1100,787,1148,1743
ZCCHC7,654,605,736,545,837,587,968,436,494,343,425,583
ZDHHC15,81,63,154,19,65,132,104,0,27,3,2,0
ZDHHC3,803,883,1037,1088,889,1013,1104,2216,1612,2770,2257,1964
ZDHHC7,773,868,496,1045,723,1750,1007,2661,2800,1945,1913,3610
ZEB1,642,804,693,332,652,228,852,3,80,25,46,49
ZEB1-AS1,115,127,254,228,243,221,213,3,56,11,20,5
ZEB2,4037,4369,1949,2896,3563,1154,2284,7809,5954,7350,11342,18229
ZFP1,180,123,303,134,208,181,197,70,104,100,114,53
ZFP30,85,66,40,23,38,25,111,3,14,34,24,5
ZFP82,220,87,150,115,112,81,165,50,89,37,43,19
ZGLP1,7,17,3,23,8,10,26,50,39,64,31,85
ZKSCAN3,135,131,169,223,166,154,218,62,86,80,132,65
ZKSCAN7,162,50,200,122,86,49,119,26,32,50,68,14
ZMAT2,1207,1229,1208,1511,1371,1635,1060,1783,1953,1645,1347,2425
ZMYM4,1746,1587,1498,1425,1462,1837,2141,1322,1047,962,1370,1276
ZNF131,1031,595,880,903,805,602,705,540,565,429,592,585
ZNF143,296,173,285,331,264,262,334,476,414,294,398,619
ZNF146,1619,1169,1823,1811,1381,1399,1406,891,1019,763,970,793
ZNF175,246,173,228,97,166,223,366,61,109,99,128,63
ZNF181,178,93,281,183,211,175,218,45,142,63,53,60
ZNF217,682,887,491,604,642,368,699,1727,1180,1461,1687,2907
ZNF253,180,158,144,111,184,81,103,27,84,25,59,58
ZNF254,420,207,376,261,400,144,201,115,136,71,76,154
ZNF273,291,130,259,195,216,98,113,85,101,92,115,75
ZNF283,75,42,63,50,38,55,59,27,39,33,31,25
ZNF32,354,637,643,424,638,404,456,280,267,372,292,199
ZNF331,1498,1957,1239,237,2626,100,245,159,205,52,75,379
ZNF395,755,997,921,1076,1020,513,764,418,463,572,361,110
ZNF436,426,344,149,296,201,134,213,144,102,138,145,191
ZNF445,613,498,377,288,396,260,565,128,182,226,317,228
ZNF467,165,444,137,140,176,182,374,444,365,1033,385,993
ZNF485,146,38,109,68,86,53,105,13,14,31,38,9
ZNF493,65,75,104,45,128,84,68,27,66,32,41,29
ZNF506,318,162,389,232,305,177,133,114,274,100,117,114
ZNF507,459,166,367,388,275,193,355,62,119,126,124,13
ZNF585B,132,111,136,117,129,106,158,62,80,56,83,42
ZNF606,133,91,140,95,122,70,119,56,42,57,78,23
ZNF608,12,148,71,178,77,9,106,0,17,0,5,13
ZNF665,116,63,80,72,77,65,124,14,50,25,35,32
ZNF675,360,254,277,169,281,112,156,79,125,67,120,238
ZNF678,195,198,230,151,303,129,123,120,125,80,104,71
ZNF681,116,100,195,105,199,110,80,5,32,5,9,55
ZNF699,60,40,24,19,22,22,16,70,36,68,59,69
ZNF726,37,38,44,59,51,32,20,11,6,13,13,14
ZNF74,423,366,319,203,264,262,509,85,81,166,155,119
ZNF770,483,455,1090,657,774,614,405,429,460,151,183,180
ZNF792,373,199,411,463,333,295,430,58,122,143,120,50
ZNF804A,419,253,227,49,313,116,158,70,139,56,58,65
ZNF821,12,16,23,16,22,21,45,67,36,34,31,73
ZNF827,507,349,209,145,209,121,604,0,24,3,61,50
ZNF85,141,85,189,332,239,123,77,64,116,50,40,80
ZNRF1,1118,1271,1375,979,1316,1091,1835,56,366,487,474,370
ZRANB3,235,179,280,208,205,246,188,144,155,69,119,126
ZSCAN2,244,127,255,186,153,132,291,120,122,46,175,116
ZSCAN31,123,64,162,157,111,78,137,18,33,22,42,14
ZZZ3,1181,828,1133,1193,1041,587,965,433,546,522,756,624
