ZNF506
TCF7
SHOX2
RELB
ZNF211
ING3
NR2F6
BCL3
IRF5
MXD3
ZNF585B
ZNF44
ZNF331
BDP1
KLF3
ZNF684
FIZ1
ERG
GATA2
MYB
NFIC
TCF3
ZNF77
GTF3A
HINFP
IKZF4
PPARA
NFATC3
TBL1XR1
ZNF579
REST
KLF5
PPARD
FLI1
PRDM15
HMGB1
FOXO3
DLX2
TFDP1
POLR3A
ATF3
CEBPE
ERF
SIN3A
NR1D1
TBX19
ZSCAN2
ZNF821
ZBTB14
FOXN2
ZNF74
ZNF354C
ZNF792
ZNF76
E2F2
SREBF2
JUND
ZNF787
ZMAT2
ZNF780B
NFYA
BCL6
DDIT3
KLF2
ARNTL
ZNF528
RXRB
SP4
ZNF555
ZNF181
KLF1
KLF7
HOXB4
ZNF41
ZNF335
CTCF
MAFB
NFIX
NR3C1
ZNF264
AHCTF1
MAZ
TBPL1
FOXC1
HOXA7
GTF3C2
SP2
ZNF32
FOXK1
ZNF544
HOXA2
TFAP2E
MECOM
EGR4
HSF5
IRF7
PLAGL2
ZNF699
RARG
ZNF415
ZNF384
MAFK
TBP
MEF2A
ZNF273
ZNF444
ZNF814
ZNF90
E2F1
CREM
ZNF225
FOSL2
STAT1
ZNF708
MYBL2
MAF
ZBTB7B
HOXA11
RUNX2
ZNF107
DDX43
MXD4
IRF8
POLI
DLX4
CEBPD
BHLHE41
ZNF175
ELK1
ZNF17
MAFA
MAX
EP300
HOXA1
ZNF316
ETS2
E2F7
ZNF227
ZXDC
ETV6
SOX4
ZNF678
ZSCAN31
FOXN3
ZNF12
HIC2
STAT2
IRF4
FOXO4
TCF12
ZFP82
SMAD3
ZKSCAN7
E4F1
KDM4C
FOS
SNAPC4
CREBL2
BRCA1
KLF16
NR1I3
ZNF383
PRDM4
ZNF836
RFX5
FOSL1
OLIG1
EZH2
ZNF143
TBX21
ZNF513
JUN
MYCN
TGIF1
MXI1
POLR2A
ZBTB2
NR2C2
HIF1A
LBX2
ZNF230
ZNF700
ZNF681
MEX3C
SPI1
ZNF846
CEBPB
RBBP5
ZEB1
ZBTB18
SMARCC2
ZNF426
KDM5A
JDP2
ATF6
ELF4
NFYB
RFX2
EGR1
IRF1
PHF2
KLF6
IKZF1
ZNF510
ZNF740
MYC
NFE2
CEBPG
ZNF333
CHD2
GTF2F1
RUNX1
NFIA
ZNF784
ZBTB40
ZNF8
ZNF282
ZNF776
ESRRA
ZNF765
HOXA9
ATF4
ZNF563
WT1
ZNF284
TAF7
ZNF263
MYBL1
HCFC1
PBX1
ZNF274
BAD
RXRA
ZNF706
TAF1
HOXA10
UBP1
ZNF547
NFE2L3
SRF
ZNF627
RCOR1
ZFP1
ZBTB1
BCL11A
ZNF101
ZNF343
MAFG
EGR3
TEF
NFATC2
E2F4
ZBTB33
ZNF236
GTF2B
ZNF791
REL
ZNF805
ZNF35
RELA
ZNF134
GATA3
ZBTB3
TRPS1
ZBTB7A
MRPS25
ZNF160
SP1
POLE3
ZNF830
PHF8
ZNF613
PAX5
HOXB6
ZNF586
SOX12
ZNF362
METTL14
USF2
HOXB2
NFATC1
IRF2
ZNF879
TCF7L2
YY1
STAT5A
SMAD5
ZNF486
FOXJ2
HIC1
XBP1
ELF1
JUNB
TP73
KLF4
ZNF568
KDM2B
RARA
TEAD4
ZNF585A
SETDB1
ZIK1
NFIL3
NR1H3
TFAP4
POU2F1
NFKB2
HOXA5
GLI2
ZNF606
THRA
FOSB
MLX
ZFX
MEIS1
CUX1
ZNF793
GABPA
CLOCK
ZNF300
ZNF619
MZF1
ZNF221
STAT3
HOXB9
MAFF
FOXP1
IRF9
STAT4
ZNF224
E2F3
EOMES
ARNT
EGR2
POLR3G
KLF13
ZNF726
SREBF1
TAF1A
TFE3
ZNF665
ZNF521
GRHPR
E2F6
ZNF484
E2F8
ZNF235
ZNF256
ZNF146
GATA1
MYEF2
ELK3
TP53
ZNF615
PLAGL1
ATF6B
CEBPA
HIVEP2
ETS1
DBP
BACH1
TAL1
ZNF283
THAP11
STAT6
HBP1
